contract_expiration,rep_name,local_number,name,city,state,dues_paying_members
30-Jun-28,Jeremy Tyler,12,Alpha & Omega Building Serv. (U. Dayton),Dayton,OH,58
17-Oct-26,Jeremy Tyler,12,"Aramark @ Ford Sharonville Cafeteria, Unit # 0419",Sharonsville,OH,4
04-Sep-28,Jeremy Tyler,12,Aramark @ Heritage Bank Center,Cincinnati,OH,FEE
31-Dec-25,Jeremy Tyler,12,Aramark @ University of  Cincinnati (CenterCourt),Cincinnati,OH,68
31-Dec-25,Jeremy Tyler,12,Aramark @ University of  Cincinnati (Retail Operations),Cincinnati,OH,13
31-Aug-27,Jeremy Tyler,12,Chartwell @ Xavier University,Cincinnati,OH,90
19-Mar-28,Jeremy Tyler,12,Cincinnati Sportservice Inc. d/b/a GABP (Vendors),Cincinnati,OH,FEE
31-Dec-27,Jeremy Tyler,12,"Cincinnati Sportservice, Inc d/b/a GABP (Concesions)",Cincinnati,OH,FEE
31-Dec-26,Jeremy Tyler,210T,Cindus Corp.,Cincinnati,OH,40
30-Sep-26,Jeremy Tyler,872,"Economy Linen and Towel Service, Inc.",Dayton,OH,164
30-Jun-24,Jeremy Tyler,12,HMS - Host - Cincinnati KY Airport,Hebron,OH,8
25-Aug-28,Jeremy Tyler,12,Oak View Group - Ovations Spectra,Cincinnati,OH,FEE
31-Mar-28,Jeremy Tyler,2702,Ridge Global,West Chester,OH,58
30-Apr-26,Jeremy Tyler,12,Sodexo @ GE Electric Evendale,Cincinnati,OH,11
06-Mar-26,Jeremy Tyler,2723,Vestis @ Cincinnati - MC 543,Cincinnati,OH,85
07-Aug-26,Jeremy Tyler,2722,Vestis @ Dayton  MC 322,Dayton,OH,42
02-Feb-26,Jeremy Tyler,12,Westin Hotel Cincinnati,Cincinnati,OH,128
22-May-28,Joan Olson,3008,ALSCO  Inc.,Wauwatosa,WI,9
07-Aug-28,Joan Olson,122,Avia of Kenosha,Kenosha,WI,36
31-Aug-26,Joan Olson,122,Chartwells @ Cudahy School District,Cudahy,WI,1
31-Aug-27,Joan Olson,122,"Chartwells @ Whitewater, WI",Whitewater,WI,30
30-Jun-28,Joan Olson,414,Elior Collegiate Dining @ UW Oshkosh,Oshkosh,WI,37
30-Jun-28,Joan Olson,65,Madison Labor Temple,Madison,WI,1
31-Dec-27,Joan Olson,65,Monona Catering LLC,Madison,WI,81
30-Sep-26,Joan Olson,777,"Monterey Mills, Inc.",Janesville,WI,18
31-Aug-28,Joan Olson,65,Trustage @ Cuna Mutual,Madison,WI,0
31-Jul-27,Jose Ortiz,2825,Aladdin @ Purdue Northwest University,Hammond,IN,2
31-Jul-27,Jose Ortiz,335,Estee Bedding Company,Chicago,IL,29
15-Nov-26,Jose Ortiz,969,Hilton Chicago,Chicago,IL,5
31-Jan-28,Jose Ortiz,1818,Home Goods Company/HG Merchants,Brownsburg,IN,684
15-Nov-28,Jose Ortiz,969,Hyatt Regency Chicago,Chicago,IL,6
30-Sep-28,Jose Ortiz,969,Mickey's Linen Hammond IN,Hammond,IN,10
15-Nov-26,Jose Ortiz,969,Palmer House Hilton,Chicago,IL,1
15-Nov-26,Jose Ortiz,969,Ritz Carlton Hotel,Chicago,IL,14
30-Jun-27,Jose Ortiz,969,Roscoe Company,Chicago,IL,22
06-Feb-29,Ken LeBlanc,181,"Eurest @ GE Appliance Park, Unit # 6798",Louisville,KY,3
30-Jun-27,Ken LeBlanc,2112,Lear Corporation (IMA),Louisville,KY,38
30-Sep-27,Ken LeBlanc,181,Levy Premium Foodservice @ Churchill Downs & Trackside OTB,Louisville,KY,FEE
14-Feb-27,Ken LeBlanc,284,Meramec Group Inc.,Sullivan,MO,92
30-Jun-27,Ken LeBlanc,104,Miss Elaine,St. Louis,MO,13
30-Sep-26,Ken LeBlanc,393T,ProAmpac (Gateway Packaging),Kansas City,MO,115
10-Dec-27,Ken LeBlanc,2302,Royal Lace Div - Mafcote Industries,Louisville,KY,22
31-Dec-27,Ken LeBlanc,871,Stanbury Uniforms,Brookfield,MO,109
18-Feb-28,Ken LeBlanc,2821,"Vestis @ Sikeston, MO",Sikeston,MO,46
11-Feb-28,Ken LeBlanc,2818,"Vestis @ Springfield, MO",Springfield,MO,57
31-Aug-27,Kimberly Gillis,10,Aramark @ Cleveland State,Cleveland,OH,11
06-Jul-27,Kimberly Gillis,84,AVI @ Kenyon College,Warren,OH,75
21-Aug-27,Kimberly Gillis,2710,Domestic Linen,Youngstown,OH,13
31-Dec-28,Kimberly Gillis,10,"Holiday Inn North Canton-Radius Hospitality Management, LLC",North Canton,OH,16
21-Jun-27,Kimberly Gillis,3121,HomeGoods - Lordstown DC,Warren,OH,1242
01-Apr-27,Kimberly Gillis,10,JACK Thisedown Racino LLC,North Randall,OH,105
31-May-26,Mark Baeza,16,American Water Co. (Illinois) Peoria Dist.,Peoria,IL,5
31-Jul-28,Mark Baeza,16,Aramark @ Bradley University,Peoria,IL,53
31-Jan-27,Mark Baeza,2378,Aurora Textile Finishing Co.,Yorkville,IL,22
31-Mar-27,Mark Baeza,5,Brooks Brothers,Chicago,IL,3
30-Nov-27,Mark Baeza,16,Eurest Dining @ Caterpillar General Admin Bldg.,Peoria,IL,30
18-Jun-27,Mark Baeza,16,Eurest Dining @ Caterpillar Pontiac,Pontiac,IL,6
31-Oct-27,Mark Baeza,16,Eurest Dining @ Caterpillar Tractor - Main Facility,Peoria,IL,54
31-Oct-28,Mark Baeza,73,Excelled Sheepskin & Leather Coat,Kewanee,IL,31
31-Oct-27,Mark Baeza,16,Lariat Club,Peoria,IL,4
31-Aug-26,Mark Baeza,16,Savor - Peoria Civic Center,Peoria,IL,FEE
08-May-27,Mark Baeza,2721,United Hospital Services,Indianapolis,IN,39
23-Aug-27,Mark Baeza,2512,"Westminster Village, Inc.",Bloomington,IL,151
31-Dec-28,Marquis Frost,100,BYP100 Education Fund,Springfield,IL,15
22-Oct-26,Marquis Frost,272,Cards Against Humanity,Chicago,IL,7
31-Oct-26,Marquis Frost,2843,Equality Ohio Education,Columbus,OH,13
28-Feb-27,Marquis Frost,10,Hyatt Regency Cleveland at the Arcade,Cleveland,OH,15
31-Oct-28,Marquis Frost,10,Inter-Continental Conference,Cleveland,OH,47
31-Oct-29,Marquis Frost,10,Inter-Continental Suites,Cleveland,OH,20
30-Nov-28,Marquis Frost,2843,Kentuckians For The Commonwealth,Lexington,KY,13
31-Dec-27,Marquis Frost,2848,MN350,Minneapolis,MN,5
30-Jun-26,Marquis Frost,2843,Ohio Enviromental Council (OEC),Columbus,OH,22
31-Dec-28,Marquis Frost,2843,Ohio Organizing Collabrotive,Youngstown,OH,6
17-Jun-26,Marquis Frost,100,Peoples Action Institute,Chicago,IL,16
31-Dec-26,Marquis Frost,2843,Policy Matters Ohio,Cleveland,OH,22
14-Feb-26,Marquis Frost,10,Sparks Hotel Beachwood,Beachwood,OH,1
12-Jul-28,Marquis Frost,10,Westin Cleveland Downtown,Cleveland,OH,114
31-Mar-27,Martin Salgado,76A,37th Street Bakery formerly GOLD STANDARD,Chicago,IL,249
17-Jun-26,Martin Salgado,335,Accurate Felt & Gasket,Cicero,IL,15
15-Jan-28,Martin Salgado,304,ALSCO - Denver Linen,Denver,CO,106
08-Sep-28,Martin Salgado,562,Alsco American Linen,Salt Lake City,UT,3
30-Apr-27,Martin Salgado,304,ALSCO Inc.,Grand Junction,CO,41
31-Dec-28,Martin Salgado,2000,"C-Line Products, Inc.",Mt. Prospect,IL,10
08-Jul-30,Martin Salgado,2497,Curto Ligonier Foundries Company,Melrose Park,IL,33
24-Oct-26,Martin Salgado,969,Domestic Linen Supply Co.,Chicago,IL,23
14-Sep-28,Martin Salgado,16,Eurest Dining @ British Petroleum - Braidwood,Normal,IL,3
30-Sep-28,Martin Salgado,1110,Frontline Group (The)  - USAF,Hebron,CT,16
19-Dec-26,Martin Salgado,2430,Grecian Delight Foods,Elk Grove Village,IL,81
14-Aug-27,Martin Salgado,2430,"Grecian Delight Foods, Bakery Div",Elk Grove Village,IL,7
31-Oct-26,Martin Salgado,304,Hospital Co-Operative Laundry (HCL Denver),Denver,CO,180
28-Apr-29,Martin Salgado,2745,Macy's Inc. - State Street,Chicago,IL,5
30-Apr-27,Martin Salgado,2745,Macy's Logistics and Operations,Minooka,IL,88
30-Sep-28,Martin Salgado,270,Oxxford Clothing,Chicago,IL,81
31-Aug-26,Martin Salgado,2430,Suncast Corp.,Batavia,IL,169
